timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1673513825409,24495,HTTP Request,200,OK,W3 traffic 1-70,text,true,,119681,119,181,181,https://www.w3schools.com/,6534,0,2423
1673513823930,25983,HTTP Request,200,OK,W3 traffic 1-33,text,true,,119681,119,180,180,https://www.w3schools.com/,9370,0,1446
1673513827847,22178,HTTP Request,200,OK,W3 traffic 1-131,text,true,,119681,119,179,179,https://www.w3schools.com/,8316,0,2766
1673513827208,22988,HTTP Request,200,OK,W3 traffic 1-115,text,true,,119681,119,178,178,https://www.w3schools.com/,13340,0,5001
1673513825810,24502,HTTP Request,200,OK,W3 traffic 1-80,text,true,,119681,119,177,177,https://www.w3schools.com/,9281,0,2366
1673513827372,23399,HTTP Request,200,OK,W3 traffic 1-119,text,true,,119682,119,176,176,https://www.w3schools.com/,9560,0,2642
1673513830288,20565,HTTP Request,200,OK,W3 traffic 1-192,text,true,,119681,119,175,175,https://www.w3schools.com/,12195,0,7990
1673513828449,22516,HTTP Request,200,OK,W3 traffic 1-146,text,true,,119682,119,174,174,https://www.w3schools.com/,9355,0,2756
1673513827009,24527,HTTP Request,200,OK,W3 traffic 1-110,text,true,,119681,119,173,173,https://www.w3schools.com/,7961,0,2428
1673513827133,24810,HTTP Request,200,OK,W3 traffic 1-112,text,true,,119681,119,172,172,https://www.w3schools.com/,6564,0,2405
1673513832048,19916,HTTP Request,200,OK,W3 traffic 1-236,text,true,,119682,119,171,171,https://www.w3schools.com/,8315,0,2785
1673513826129,26018,HTTP Request,200,OK,W3 traffic 1-88,text,true,,119681,119,170,170,https://www.w3schools.com/,6639,0,2488
1673513830130,22111,HTTP Request,200,OK,W3 traffic 1-188,text,true,,119682,119,169,169,https://www.w3schools.com/,9668,0,2763
1673513829288,23188,HTTP Request,200,OK,W3 traffic 1-167,text,true,,119681,119,168,168,https://www.w3schools.com/,12128,0,5188
1673513830648,22123,HTTP Request,200,OK,W3 traffic 1-201,text,true,,119682,119,167,167,https://www.w3schools.com/,12455,0,2776
1673513823928,29100,HTTP Request,200,OK,W3 traffic 1-32,text,true,,119681,119,166,166,https://www.w3schools.com/,11004,0,1448
1673513828568,24589,HTTP Request,200,OK,W3 traffic 1-149,text,true,,119681,119,165,165,https://www.w3schools.com/,16321,0,8322
1673513824650,28733,HTTP Request,200,OK,W3 traffic 1-51,text,true,,119682,119,164,164,https://www.w3schools.com/,18857,0,3907
1673513826013,27445,HTTP Request,200,OK,W3 traffic 1-85,text,true,,119681,119,163,163,https://www.w3schools.com/,3912,0,2526
1673513829088,24429,HTTP Request,200,OK,W3 traffic 1-162,text,true,,119681,119,162,162,https://www.w3schools.com/,13964,0,8394
1673513827291,26228,HTTP Request,200,OK,W3 traffic 1-117,text,true,,119682,119,162,162,https://www.w3schools.com/,4038,0,2652
1673513827768,25771,HTTP Request,200,OK,W3 traffic 1-129,text,true,,119681,119,160,160,https://www.w3schools.com/,14969,0,2793
1673513829248,24647,HTTP Request,200,OK,W3 traffic 1-166,text,true,,119682,119,159,159,https://www.w3schools.com/,14918,0,3784
1673513827807,26263,HTTP Request,200,OK,W3 traffic 1-130,text,true,,119682,119,158,158,https://www.w3schools.com/,9694,0,2766
1673513830851,23628,HTTP Request,200,OK,W3 traffic 1-206,text,true,,119681,119,157,157,https://www.w3schools.com/,12539,0,6993
1673513827607,26908,HTTP Request,200,OK,W3 traffic 1-125,text,true,,119681,119,156,156,https://www.w3schools.com/,18634,0,14481
1673513825769,28925,HTTP Request,200,OK,W3 traffic 1-79,text,true,,119682,119,155,155,https://www.w3schools.com/,9285,0,2399
1673513826569,28441,HTTP Request,200,OK,W3 traffic 1-99,text,true,,119681,119,154,154,https://www.w3schools.com/,12102,0,7940
